CIIU4,Nombre de establecimiento
Extracción y procesamiento de cobre,"['DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO'
 'REFINERIA VENTANAS' 'DIVISION ANDINA CENTRO TRATAMIENTO DE RESIDUOS'
 'PUNTA COLOSO 0' 'MUELLE CENTINELA'
 'CODELCO CHILE DIVISION EL TENIENTE ALHUE' 'MINERA TRES VALLES'
 'PUERTO Y PLANTA DESALINIZADORA DE CANDELARIA']"
Fabricación de celulosa y otras pastas de madera,"['PLANTA CONSTITUCION' 'PLANTA ARAUCO' 'CMPC CELULOSA PLANTA LAJA'
 'CMPC CELULOSA PLANTA SANTA FE' 'PLANTA LICANCEL' 'NUEVA ALDEA'
 'PLANTA VALDIVIA' 'CMPC PULP SA PLANTA PACIFICO']"
"Fabricación de cuerdas, cordeles, bramantes y redes","['AC REDES PLANTA CHANGUITAD' 'BADINOTTI NET SERVICES AYSEN'
 'Kaweshkar SpA']"
"Fabricación de gas; distribución de combustibles gaseosos por tuberías, excepto regasificación de Gas Natural Licuado (GNL)",['PLANTA LIPIGAS CON CON']
Fabricación de hojas de madera para enchapado y tableros a base de madera,"['PLANTA CABRERO DIVISION TABLEROS' 'PLANTA CABRERO DIVISION MADERAS'
 'PLANTA TRUPÁN/CHOLGUAN' 'PLANTA CABRERO']"
"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador",['UNILEVER CHILE LTDA Carrascal']
Fabricación de materiales de construcción de arcilla,['CERAMICA SANTIAGO']
Fabricación de muebles,['INDUSTRIAL GLOVER SA']
Fabricación de otros artículos de papel y cartón,['PLANTA TISSUE TALAGANTE' 'ESSITY CHILE SA']
"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables",['TALLER DE REDES PINGUINOS LTDA.']
Fabricación de otros productos minerales no metálicos n.c.p.,"['COMPAÑÍA MINERA SANTA LAURA LTDA. - RÍO MAIPO, SAN BERNARDO']"
Fabricación de otros productos químicos n.c.p.,"['FAMAE' 'AISLAPOL S.A. - PLANTA PUERTO MONTT'
 'QUIMETAL INDUSTRIAL SA PLANTA MININCO' 'KIMICA CHILE LTDA'
 'PLANTA DE ACIDO SULFURICO MEJILLONES' 'PRILLEX AMÉRICA'
 'METHANEX CHILE S.A.']"
Fabricación de otros productos textiles n.c.p.,['STANDARD WOOL CHILE S.A.']
Fabricación de papel y cartón ondulado y de envases de papel y cartón,"['COMPANIA PAPELERA PACIFICO' 'CARTONES SAN FERNANDO SPA' 'PAIMASA'
 'PLANTA OSORNO']"
Fabricación de papel y cartón para su posterior uso industrial n.c.p.,"['CARTULINAS CMPC PLANTA MAULE' 'UNIPAPEL'
 'CARTULINAS CMPC PLANTA VALDIVIA'
 'SISTEMA DE TRATAMIENTO SECUNDARIO DE RILES, PLANTA PUENTE ALTO DE PAPELES CORDILLERA S.A.']"
Fabricación de productos de la refinación del petróleo,"['EMPRESA NACIONAL DEL PETRÓLEO (ENAP)' 'REFINERIA BIO BIO' 'GREGORIO'
 'TERMINAL MARÍTIMO DE QUINTERO']"
Fabricación de productos primarios de metales preciosos y otros metales no ferrosos,['COMPLEJO INDUSTRIAL MOLYNOR S.A.']
Fabricación de sustancias químicas básicas,['OCCIDENTAL CHEMICAL CHILE LIMITADA']
"Forja, prensado, estampado y laminado de metales; pulvimetalurgia",['MOLY COP CHILE PLANTA MEJILLONES']
Fundición de metales no ferrosos,['ANGLO AMERICAN SUR S.A.']
Generación de energía eléctrica,"['GUACOLDA' 'CENTRAL TERMOELÉCTRICA CANDELARIA' 'RENCA NUEVA RENCA'
 'COMPLEJO TERMOELÉCTRICO NEHUENCO'
 'CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2' 'YUNGAY (EX CAMPANARIO)'
 'CENTRAL TERMOELÉCTRICA NUEVA VENTANAS' 'LOS VIENTOS'
 'CENTRAL TERMOELECTRICA LAJA' 'CENTRAL TERMICA ANDINA' 'SAN ISIDRO 2'
 'CENTRAL TERMOELÉCTRICA LOS PINOS' 'SANTA LIDIA'
 'CENTRAL TERMOELECTRICA CAMPICHE'
 'CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA' 'CENTRAL TARAPACÁ'
 'CENTRAL TÉRMICA MEJILLONES' 'CENTRAL TERMICA TOCOPILLA'
 'CENTRAL TERMOELECTRICA BOCAMINA U1'
 'COMPLEJO TERMOELECTRICO SANTA MARIA' 'CENTRAL TERMOELÉCTRICA COCHRANE'
 'CENTRAL TERMOELÉCTRICA ANGAMOS' 'CENTRAL COLMITO' 'CENTRAL ATACAMA'
 'CENTRAL HIDROELECTRICA LOS CONDORES' 'CENTRAL SAN ISIDRO I'
 'CENTRAL A GAS CICLO COMBINADO KELAR' 'INSTALACIÓN DE FAENAS 7'
 'INSTALACIÓN DE FAENAS Y CAMPAMENTO 4' 'FRENTE DE TRABAJO VL7'
 'FRENTE DE TRABAJO VL5' 'INSTALACIONES SECTOR EL YESO'
 'INSTALACIONES SECTOR EL VOLCÁN' 'CENTRAL TERMOELECTRICA LOS GUINDOS']"
Industrias básicas de hierro y acero,['COMPAÑÍA SIDERÚRGICA HUACHIPATO' 'PLANTA COLINA']
Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería,['ESTACION EXPERIMENTAL QUILLAIPE']
Otras actividades de apoyo al transporte n.c.p.,['SERVICIOS SANITARIOS NORTE SPA']
Otras actividades de servicios personales n.c.p.,['VINICAS' 'CENTRO LA CASONA']
Otras industrias manufactureras n.c.p.,"['BALL CHILE SA' 'AGAR DEL PACÍFICO S.A.'
 'FORESTAL Y PAPELERA CONCEPCION S A' 'SYNTHEON CHILE LTDA.']"
Pesca marítima artesanal,['PESQUERA Y CONSERVERA REAL']
"Pesca marítima industrial, excepto de barcos factoría","['Complejo Pesquero Industrial Coronel' 'PESQUERA QUINTERO S.A.'
 'PESQUERA FRIOSUR S.A.' 'LOTA PROTEIN S.A.' 'PESQUERA GRIMAR'
 'Planta Coquimbo']"
Producción de harina de pescado,"['PESQUERA LANDES ISLA ROCUANT' 'SALMONOIL S.A.' 'PLANTA DE PESCA'
 'PLANTA SUR' 'INDUSTRIAS ISLA QUIHUA SA' 'PLANTA MEJILLONES'
 'PESQUERA LA PORTADA' 'GRANERO S A' 'CAMANCHACA PESCA NORTE'
 'PESQUERA BAHIA CALDERA SA' 'SOPESA S.A.' 'BLUMAR CORONEL'
 'BLUMAR SAN VICENTE' 'PLANTA CORRAL' 'PLANTA ORIENTE'
 'PESQUERA FIORDO AUSTRAL S A']"
Recolección y extracción de productos marinos,"['PESQUERA Y CONSERVERA ISLA LENNOX LTDA.'
 'PRODUCTOS MARINOS PUERTO WILLIAMS LIMITADA']"
Regasificación de Gas Natural Licuado (GNL),['TERMINAL MARITIMO GNL QUINTERO']
"Reproducción y cría de moluscos, crustáceos y gusanos marinos","['Sociedad Pesquera Landes SA' 'MEJILLONES AUCAR LIMITADA'
 'CIA PESQUERA CAMANCHACA S.A., CALDERETA' 'CULTIMAR S.A.'
 'SPINETECH CHILE S.A.' 'HATCHERY DE INVERTEBRADOS MARINOS'
 'ST ANDREWS SA' 'TRES QUEBRADAS' 'CULTIVO BAHÍA GUANAQUEROS']"
Servicios relacionados con la acuicultura marina,"['PLANTA PROCESO CAILIN' 'PLANTA PROCESO HUENOCOIHUE' 'REDES Y NETS LTDA.'
 'YADRAN QUELLON (2)' 'PLANTA AGUAS CLARAS' 'SURPROCESO S.A.'
 'PLANTA DE PROCESO QUELLON' 'SERVICIOS INDUSTRIALES B&B NETS LTDA.'
 'CULTIVOS MARINOS SAN CRISTOBAL S.A.' 'HIDROCULTIVOS EL MORRO'
 'PACIFIC FARMER' 'TRANS ANTARTIC' 'SAFCOL' 'PROCESOS PRIMARIOS SAN JOSÉ'
 'RIO DULCE S.A.' 'SERVICIOS INTEGRALES REDES LTDA.'
 'TALLER DE REDES MINA MARTA' 'TALLER DE REDES RIO ALVAREZ'
 'INVERSIONES COIHUIN LIMITADA']"
Servicios relacionados con la pesca marítima,"['CONSERVAS Y CONGELADOS S.A.' 'PESQ SAN FDO LTDA'
 'SOCIEDAD PESQUERA COMERCIAL CHAICAS LIMITADA' 'KM 12'
 'TERMINAL DE ACEITE' 'CAMPOMAR SPA' 'EDMUNDO JOSE ACUÑA FUENTES']"
Silvicultura y otras actividades forestales,['FORACTION CHILI S A']
Tratamiento y eliminación de desechos no peligrosos,"['RELLENO SANITARIO EL RETAMO' 'RELLENO SANITARIO SANTA MARTA'
 'RELLENO SANITARIO PARQUE EL GUANACO'
 'CENTRO DE TRATAMIENTO DE RESIDUOS ECOMAULE'
 'RELLENO SANITARIO PROVINCIAL COMUNA DE PUERTO VARAS']"
Tratamiento y eliminación de desechos peligrosos,['CROWAN UNO LTDA']
Venta al por mayor a cambio de una retribución o por contrata,"['DOLE CHILE S.A. - PLANTA SAN FERNANDO'
 'DOLE CHILE S.A. - PLANTA CHIMBARONGO']"
Venta al por mayor de alimentos,['PESQUERA AGROMAR' 'UNIFRUTTI PLANTA LINDEROS']
Venta al por mayor de animales vivos,['FERIA BULNES' 'SAN CARLOS']
"Venta al por mayor de combustibles sólidos, líquidos y gaseosos y productos conexos",['PLANTA COPEC PUREO' 'PLANTA DE LUBRICANTES COPEC' 'PLANTA COPEC CONCON']
Venta al por mayor de materias primas agrícolas,['FRUSAN SA PLANTA LO HERRERA']
Venta al por mayor no especializada,['FRUSUR' 'ELANCO CHILE SPA' 'GASMAR S A']
