Región,Tipo de contaminate,count
Los Ríos,Manganeso,32
Los Ríos,Mercurio,30
Los Ríos,Molibdeno,28
Los Ríos,N-Nitrato + N-Nitrito,2
Los Ríos,Nitrógeno Total  Kjeldahl,37
Los Ríos,Níquel,30
Los Ríos,Pentaclorofenol,24
Los Ríos,Plomo,30
Los Ríos,SAAM,8
Los Ríos,Sulfato,33
Los Ríos,Sulfuro,32
Los Ríos,Sólidos Suspendidos Totales,60
Los Ríos,Tetracloroeteno,25
Los Ríos,Tolueno,25
Los Ríos,Triclorometano,24
Los Ríos,Xileno,23
Los Ríos,Zinc,34
Magallanes y de la Antártica Chilena,Aceites y Grasas,17
Magallanes y de la Antártica Chilena,Aluminio,15
Magallanes y de la Antártica Chilena,Arsénico,12
Magallanes y de la Antártica Chilena,Boro,5
Magallanes y de la Antártica Chilena,Cadmio,13
Magallanes y de la Antártica Chilena,Cianuro,10
Magallanes y de la Antártica Chilena,Cloruros,8
Magallanes y de la Antártica Chilena,Cobre,12
Magallanes y de la Antártica Chilena,Cromo Hexavalente,10
Magallanes y de la Antártica Chilena,Cromo Total,6
Magallanes y de la Antártica Chilena,Estaño,6
Magallanes y de la Antártica Chilena,Fluoruro,12
Magallanes y de la Antártica Chilena,Fósforo,7
Magallanes y de la Antártica Chilena,Hidrocarburos Fijos,4
Magallanes y de la Antártica Chilena,Hidrocarburos Totales,9
Magallanes y de la Antártica Chilena,Hidrocarburos Volatiles,8
Magallanes y de la Antártica Chilena,Hierro Disuelto,5
Magallanes y de la Antártica Chilena,Indice Fenol,12
Magallanes y de la Antártica Chilena,Manganeso,13
Magallanes y de la Antártica Chilena,Mercurio,10
Magallanes y de la Antártica Chilena,Molibdeno,11
Magallanes y de la Antártica Chilena,Nitrógeno Total  Kjeldahl,7
Magallanes y de la Antártica Chilena,Níquel,12
Magallanes y de la Antártica Chilena,Pentaclorofenol,5
Magallanes y de la Antártica Chilena,Plomo,11
Magallanes y de la Antártica Chilena,SAAM,9
Magallanes y de la Antártica Chilena,Sulfato,6
Magallanes y de la Antártica Chilena,Sulfuro,13
Magallanes y de la Antártica Chilena,Sólidos Suspendidos Totales,20
Magallanes y de la Antártica Chilena,Tetracloroeteno,6
Magallanes y de la Antártica Chilena,Tolueno,4
Magallanes y de la Antártica Chilena,Triclorometano,5
Magallanes y de la Antártica Chilena,Xileno,4
Magallanes y de la Antártica Chilena,Zinc,13
Maule,Aceites y Grasas,37
Maule,Aluminio,25
Maule,Arsénico,17
Maule,Boro,17
Maule,Cadmio,18
Maule,Cianuro,18
Maule,Cloruros,23
Maule,Cobre,17
Maule,Cromo Hexavalente,18
Maule,Cromo Total,1
Maule,Estaño,1
Maule,Fluoruro,17
Maule,Fósforo,44
Maule,Hidrocarburos Fijos,20
Maule,Hidrocarburos Totales,1
Maule,Hidrocarburos Volatiles,1
Maule,Hierro Disuelto,20
Maule,Indice Fenol,21
Maule,Manganeso,22
Maule,Mercurio,17
Maule,Molibdeno,17
Maule,Nitrógeno Total  Kjeldahl,42
